delta Vx Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf
 0.227612 13.765705  2.825000 7968.987305 630.062927 5802.750977 -650.997742  0.592220  0.011282  0.011714      -nan 
 0.231308 13.765150  2.850000 7953.726562 807.952576 5881.753418 -514.289429  0.596932  0.010005  0.010524      -nan 
 0.233981 13.764963  2.875000 7936.701660 985.732605 5955.737793 -375.821564  0.600678  0.008764  0.009294      -nan 
 0.235489 13.765175  2.900000 7919.703613 1163.340942 6024.946777 -235.721817  0.603523  0.007588  0.008041      -nan 
 0.235676 13.765829  2.925000 7903.933105 1340.747925 6079.974609 -94.109497  0.605600  0.006497  0.006777      -nan 
 0.234381 13.766987  2.950000 7889.908203 1517.933716 6132.424316 48.693222  0.607031  0.005625  0.005514      -nan 
 0.231526 13.768729  2.975000 7842.459961 1694.905518 6182.150879 192.610733  0.607741  0.004834  0.004263      -nan 
 0.227151 13.771271  3.000000 7651.273926 1870.678955 6230.575684 337.728577  0.606709  0.003756  0.002922      -nan 
 0.221207 13.774940  3.025000 7547.938477 2041.956787 6279.267090 483.856567  0.603647  0.001207  0.001536      -nan 
 0.213401 13.779726  3.050000 7561.957520 2210.706055 6315.903320 631.008179  0.599779 -0.000396  0.000237      -nan 
 0.203349 13.785546  3.075000 7675.668945 2379.689453 6347.250000 778.816650  0.596444 -0.000577 -0.000868      -nan 
 0.190698 13.792335  3.100000 7822.172852 2551.301514 6376.273438 927.038391  0.594500  0.000399 -0.001740      -nan 
 0.175227 13.800200  3.125000 7899.482910 2726.348633 6409.227539 1075.540527  0.593826  0.001791 -0.002432      -nan 
 0.156968 13.809526  3.150000 7790.941406 2903.252441 6450.768066 1224.396240  0.593106  0.002433 -0.003080      -nan 
 0.136260 13.820824  3.175000 7409.834473 3077.773926 6500.506836 1373.811157  0.590001  0.001001 -0.003874      -nan 
 0.113753 13.834584  3.200000 6611.153809 3243.838379 6553.931641 1524.027466  0.581071 -0.003465 -0.005058      -nan 
 0.090643 13.850811  3.225000 5484.065430 3392.055908 6604.402832 1674.931519  0.562598 -0.012509 -0.006827      -nan 
