delta Vx Vy Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf Vy VyBuf
-0.023467 13.858543 -0.078177  1.975000 -832.585632 -3301.647949 -3423.510010 -2380.408447 -0.193707 -0.346008 -0.004698 17521.148438 -0.078177 -0.052203 
-0.016129 13.862719 -0.052037  2.000000 -385.678925 -3320.463623 -3122.309570 -2457.466309 -0.162227 -0.311350 -0.004072 18154.839844 -0.052037 -0.042536 
-0.008807 13.866018 -0.024100  2.025000 65.977203 -3329.515381 -2800.401367 -2527.388672 -0.130243 -0.275699 -0.003489 18746.949219 -0.024100 -0.033555 
-0.001453 13.868570 -0.051000  2.050000 524.967712 -3328.706299 -2453.888184 -2589.713135 -0.097981 -0.239265 -0.002931 19292.734375 -0.051000 -0.025109 
 0.006014 13.870494 -0.043843  2.075000 997.947998 -3317.899170 -2091.322998 -2643.866699 -0.065636 -0.202285 -0.002370 19787.437500 -0.043843 -0.016877 
 0.013637 13.871879  0.025470  2.100000 1499.460327 -3296.807373 -1716.295044 -2689.466064 -0.033166 -0.164810 -0.001776 20226.324219  0.025470 -0.008497 
 0.021372 13.872782  0.008236  2.125000 2010.270386 -3264.819336 -1328.310913 -2726.201172 -0.000512 -0.126693 -0.001121 20604.728516  0.008236  0.000536 
 0.029063 13.873226 -0.016214  2.150000 2529.317383 -3221.726562 -931.429749 -2753.773926  0.032258 -0.087998 -0.000390 20918.072266 -0.016214  0.010453 
 0.036764 13.873212  0.022020  2.175000 3021.406982 -3167.349121 -527.096863 -2771.976074  0.065007 -0.048756  0.000417 21162.054688  0.022020  0.021436 
 0.044360 13.872730  0.008829  2.200000 3495.690674 -3102.239258 -112.058517 -2780.686035  0.097384 -0.009356  0.001286 21332.669922  0.008829  0.033221 
 0.051987 13.871757  0.048452  2.225000 3940.926758 -3026.778809 311.647430 -2779.689941  0.129132  0.029868  0.002220 21426.583984  0.048452  0.045827 
 0.059581 13.870253  0.080063  2.250000 4370.381836 -2941.564941 743.767334 -2768.846191  0.159913  0.068487  0.003219 21441.222656  0.080063  0.059189 
 0.067221 13.868172  0.019526  2.275000 4786.104980 -2846.916016 1171.816406 -2748.012939  0.189631  0.106215  0.004302 21374.951172  0.019526  0.073531 
 0.074920 13.865470  0.101573  2.300000 5180.308594 -2743.117188 1591.826904 -2717.296875  0.218150  0.142948  0.005469 21227.093750  0.101573  0.088983 
 0.082674 13.862092  0.129657  2.325000 5564.518555 -2630.630371 1986.225464 -2676.924805  0.245548  0.178551  0.006722 20997.941406  0.129657  0.105544 
